Channel_Used,Campaign_Goal,Avg_ROI,Avg_Conversion_Rate,Avg_Acquisition_Cost,Avg_CTR,Avg_Engagement_Score,Campaign_Count
Instagram,Product Launch,6.10,0.134,238.20,0.051,5.6,208
Instagram,Brand Awareness,5.60,0.118,245.10,0.049,5.4,214
Instagram,Market Expansion,5.30,0.108,251.30,0.047,5.2,196
Instagram,Retention,5.10,0.102,255.80,0.046,5.1,201
Instagram,Website Traffic,4.90,0.096,261.40,0.044,4.9,221
YouTube,Product Launch,5.70,0.124,252.40,0.048,5.3,198
YouTube,Brand Awareness,5.30,0.112,258.70,0.046,5.1,207
YouTube,Market Expansion,5.00,0.104,263.10,0.044,4.9,189
YouTube,Retention,4.80,0.098,268.90,0.043,4.8,203
YouTube,Website Traffic,4.60,0.092,274.20,0.041,4.6,218
Facebook,Product Launch,5.20,0.112,241.50,0.047,5.0,205
Facebook,Brand Awareness,4.90,0.102,247.30,0.045,4.8,211
Facebook,Market Expansion,4.70,0.096,252.80,0.043,4.7,194
Facebook,Retention,4.50,0.090,257.60,0.042,4.6,208
Facebook,Website Traffic,4.30,0.085,263.40,0.040,4.4,222
Twitter,Product Launch,5.00,0.104,234.60,0.045,4.8,196
Twitter,Brand Awareness,4.70,0.096,240.20,0.043,4.6,209
Twitter,Market Expansion,4.40,0.089,245.90,0.041,4.5,191
Twitter,Retention,4.30,0.084,250.70,0.040,4.4,204
Twitter,Website Traffic,4.10,0.079,256.30,0.038,4.2,219
Pinterest,Product Launch,4.80,0.098,221.40,0.043,4.6,199
Pinterest,Brand Awareness,4.40,0.089,227.80,0.041,4.4,206
Pinterest,Market Expansion,4.20,0.083,233.50,0.039,4.3,188
Pinterest,Retention,4.10,0.079,238.20,0.038,4.2,202
Pinterest,Website Traffic,3.80,0.074,244.10,0.036,4.0,220
